GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SDGIHR,"Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,,,,,,,,,,71,71.00000,,,,,
SDGIHR,"Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,LKA,Sri Lanka,,,,,,,,,,,,,,79,79.00000,,,,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4665,,,,PUBLISHED,Published,,2012-2016,2012-2016,,SEAR,2012,2016,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.3,0.33261,,,,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4665,,,,PUBLISHED,Published,,2012-2016,2012-2016,,SEAR,2012,2016,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2,0.22034,,,,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4665,,,,PUBLISHED,Published,,2012-2016,2012-2016,,SEAR,2012,2016,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.3,0.27452,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,67.9,67.92283,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,60.1,60.11943,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,13.5,13.52199,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,69.4,69.44110,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,61.5,61.45373,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,13.5,13.48458,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,73.0,73.04675,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,64.4,64.41956,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,13.8,13.79294,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,73.8,73.79943,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,65.1,65.05272,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,13.8,13.81919,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,76.3,76.29864,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,66.2,66.17951,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,15.8,15.80473,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,77.3,77.25994,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,67.0,66.98593,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,16.2,16.15490,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,79.4,79.41230,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,68.6,68.63116,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,16.5,16.54615,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,79.8,79.81407,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,69.0,68.96616,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,16.6,16.60402,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,71.9,71.89227,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,63.0,62.99350,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,14.7,14.65361,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,73.3,73.30135,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,64.2,64.18698,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,14.9,14.88095,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,76.3,76.26894,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,66.6,66.55033,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,15.2,15.24860,,,,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,76.9,76.86693,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,67.0,67.04655,,,,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,15.3,15.29873,,,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.9 [0.6-1.5],0.90565,0.59126,1.46839,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.6 [0.4-0.9],0.59810,0.38946,0.87567,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.3 [0.2-0.4],0.28788,0.18074,0.44534,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.1-0.3],0.21565,0.14433,0.31163,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.4 [0.2-0.7],0.38896,0.23699,0.72454,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.5 [0.2-0.9],0.45283,0.24918,0.87336,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.2-0.4],0.24563,0.16443,0.36232,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.9 [0.5-1.7],0.85798,0.53588,1.69806,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.1-0.3],0.19267,0.10831,0.33211,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,1.6 [1.0-3.2],1.58508,0.95059,3.20235,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.9 [0.6-1.8],0.91806,0.55473,1.78470,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.6 [0.4-1.2],0.61297,0.36950,1.19960,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.7 [0.4-1.5],0.72957,0.39786,1.45247,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.6 [0.3-1.1],0.56391,0.33852,1.09546,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.9 [0.6-1.9],0.93824,0.55601,1.91206,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,1.1 [0.7-1.7],1.05670,0.69802,1.67993,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.8 [0.4-1.6],0.77289,0.43820,1.55604,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.8 [0.6-1.3],0.83641,0.56658,1.32455,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.1-0.3],0.19656,0.11150,0.33710,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.7 [0.5-1.2],0.72523,0.48423,1.19928,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.1-0.3],0.19975,0.11552,0.33459,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.1-0.2],0.15952,0.10649,0.23051,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,1.1 [0.7-1.8],1.06603,0.67858,1.81212,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.2 [0.1-0.3],0.21179,0.13394,0.32732,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,1.3 [0.8-2.3],1.27770,0.82603,2.27704,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,1.1 [0.7-1.6],1.05616,0.71884,1.62419,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.4 [0.2-0.8],0.43773,0.23563,0.84453,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,1.7 [1.1-2.9],1.71204,1.12938,2.93936,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,0.7 [0.5-1.2],0.74024,0.49574,1.20523,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,0.4 [0.2-0.6],0.36860,0.24066,0.55518,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,0.7 [0.4-1.4],0.71660,0.38049,1.42649,,,
